datetime,client,close,price_am,price_pm,Month,DayofMonth,dayofweek,year,y,mod_predict
2010-07-01,0,0,-1,-1,7,1,3,2010,17,16.998916625976562
2010-07-02,0,0,-1,-1,7,2,4,2010,18,17.999874114990234
2010-07-03,0,0,-1,-1,7,3,5,2010,20,19.999238967895508
2010-07-04,0,0,-1,-1,7,4,6,2010,20,20.00075340270996
2010-07-05,0,0,-1,-1,7,5,0,2010,14,14.000554084777832
2010-07-06,0,0,-1,-1,7,6,1,2010,14,13.999284744262695
2010-07-07,0,0,-1,-1,7,7,2,2010,4,4.001386642456055
2010-07-08,0,0,-1,-1,7,8,3,2010,10,9.99978256225586
2010-07-09,0,0,-1,-1,7,9,4,2010,12,12.000207901000977
2010-07-10,0,0,-1,-1,7,10,5,2010,21,20.998043060302734
2010-07-11,0,0,-1,-1,7,11,6,2010,15,15.000998497009277
2010-07-12,0,0,-1,-1,7,12,0,2010,11,11.000113487243652
2010-07-13,0,0,-1,-1,7,13,1,2010,8,8.001449584960938
2010-07-14,0,0,-1,-1,7,14,2,2010,13,13.000200271606445
2010-07-15,0,0,-1,-1,7,15,3,2010,8,8.000486373901367
2010-07-16,0,0,-1,-1,7,16,4,2010,16,15.999727249145508
2010-07-17,0,0,-1,-1,7,17,5,2010,23,23.0012149810791
2010-07-18,0,0,-1,-1,7,18,6,2010,25,24.997758865356445
2010-07-19,0,0,-1,-1,7,19,0,2010,18,18.000450134277344
2010-07-20,0,0,-1,-1,7,20,1,2010,21,20.99851417541504
2010-07-21,0,0,-1,-1,7,21,2,2010,9,9.000664710998535
2010-07-22,0,0,-1,-1,7,22,3,2010,8,8.000244140625
2010-07-23,0,0,-1,-1,7,23,4,2010,12,12.000758171081543
2010-07-24,0,0,-1,-1,7,24,5,2010,23,22.999082565307617
2010-07-25,0,0,-1,-1,7,25,6,2010,18,18.000293731689453
2010-07-26,0,0,-1,-1,7,26,0,2010,18,17.99998664855957
2010-07-27,0,0,-1,-1,7,27,1,2010,14,14.001032829284668
2010-07-28,0,0,-1,-1,7,28,2,2010,18,17.998933792114258
2010-07-29,0,0,-1,-1,7,29,3,2010,19,19.000455856323242
2010-07-30,0,0,-1,-1,7,30,4,2010,15,15.000941276550293
2010-07-31,0,0,-1,-1,7,31,5,2010,18,18.000003814697266
2010-08-01,0,0,-1,-1,8,1,6,2010,20,19.999847412109375
2010-08-02,0,0,-1,-1,8,2,0,2010,17,16.999235153198242
2010-08-03,0,0,-1,-1,8,3,1,2010,15,15.001112937927246
2010-08-04,0,0,-1,-1,8,4,2,2010,14,14.000225067138672
2010-08-05,0,0,-1,-1,8,5,3,2010,15,15.000290870666504
2010-08-06,0,0,-1,-1,8,6,4,2010,17,16.998992919921875
2010-08-07,0,0,-1,-1,8,7,5,2010,18,18.001310348510742
2010-08-08,0,0,-1,-1,8,8,6,2010,20,19.999658584594727
2010-08-09,0,0,-1,-1,8,9,0,2010,11,11.00033187866211
2010-08-10,0,0,-1,-1,8,10,1,2010,13,12.999882698059082
2010-08-11,0,0,-1,-1,8,11,2,2010,15,14.999922752380371
2010-08-12,0,0,-1,-1,8,12,3,2010,15,14.998684883117676
2010-08-13,0,0,-1,-1,8,13,4,2010,15,15.000510215759277
2010-08-14,0,0,-1,-1,8,14,5,2010,18,18.000173568725586
2010-08-15,0,0,-1,-1,8,15,6,2010,12,12.000449180603027
2010-08-16,0,0,-1,-1,8,16,0,2010,18,18.00060272216797
2010-08-17,0,0,-1,-1,8,17,1,2010,15,14.9995756149292
2010-08-18,0,0,-1,-1,8,18,2,2010,0,0.002122730016708374
2010-08-19,0,0,-1,-1,8,19,3,2010,17,16.998857498168945
2010-08-20,0,0,-1,-1,8,20,4,2010,15,15.000711441040039
